Title_en,OctetNo,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status
Identification template 1.0 - calendar definition,24,Type of calendar,(see Code table 1.6),,1.6,,Operational
Identification template 1.1 - paleontological offset,24-25,Number of tens of thousands of years of offset,,,,,Operational
Identification template 1.2 - calendar definition and paleontological offset,24,Type of calendar,(see Code table 1.6),,1.6,,Operational
Identification template 1.2 - calendar definition and paleontological offset,25-26,Number of tens of thousands of years of offset,,,,,Operational
"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)",15,Shape of the Earth,(see Code table 3.2),,3.2,,Operational
"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)",16,Scale factor of radius of spherical Earth,,,,,Operational
"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)",17-20,Scaled value of radius of spherical Earth,,,,,Operational
"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)",21,Scale factor of major axis of oblate spheroid Earth,,,,,Operational
"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)",22-25,Scaled value of major axis of oblate spheroid Earth,,,,,Operational
"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)",26,Scale factor of minor axis of oblate spheroid Earth,,,,,Operational
"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)",27-30,Scaled value of minor axis of oblate spheroid Earth,,,,,Operational
"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)",31-34,Ni - number of points along a parallel,,,,,Operational
"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)",35-38,Nj - number of points along a meridian,,,,,Operational
"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)",39-42,Basic angle of the initial production domain,(see Note 1),9,,,Operational
"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)",43-46,"Subdivisions of basic angle used to define extreme longitudes and latitudes, and direction increments",(see Note 1),9,,,Operational
"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)",47-50,La1 - latitude of first grid point,(see Note 1),9,,,Operational
"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)",51-54,Lo1 - longitude of first grid point,(see Note 1),,,,Operational
"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)",55,Resolution and component flags,(see Flag table 3.3),,,3.3,Operational
"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)",56-59,La2 - latitude of last grid point,(see Note 1),9,,,Operational
"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)",60-63,Lo2 - longitude of last grid point,(see Note 1),9,,,Operational
"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)",64-67,Di - i direction increment,(see Notes 1 and 5),"9,45",,,Operational
